bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
12.06.2006	10	8	4	4
20.03.2006	4	4	2	2
19.06.2006	5	5	3	2
27.03.2006	3	3	0	3
19.06.2006	7	6	3	3
08.05.2006	9	9	5	4
30.01.2006	6	5	0	5
15.12.2005	9	9	4	5
20.03.2006	12	8	3	5
23.05.2006	13	13	8	5
24.04.2006	7	6	4	2
14.03.2006	9	9	5	4
31.01.2006	6	5	0	5
02.01.2006	13	13	5	8
14.02.2006	5	5	5	0
15.09.2008	8	5	3	2
01.12.2008	8	7	5	2
