bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
06.01.2014	5	2	2	0
19.12.2013	6	4	4	0
21.11.2013	8	12	6	6
25.10.2013	16	9	7	2
26.09.2013	8	9	2	7
03.10.2013	8	7	7	0
23.03.2012	4	4	2	2
28.02.2012	6	6	3	3
24.01.2012	4	4	2	2
14.11.2011	9	8	5	3
21.11.2011	6	6	2	4
03.09.2012	5	5	1	4
09.07.2012	8	8	4	4
22.05.2012	8	12	6	6
10.04.2012	3	3	3	0
23.03.2012	3	3	3	0
07.02.2012	5	5	3	2
24.01.2012	6	6	1	5
16.01.2012	8	11	6	5
05.12.2011	10	10	5	5
08.11.2011	8	9	4	5
17.10.2011	14	16	8	8
03.01.2012	3	3	2	1
12.07.2013	5	5	5	0
31.05.2013	6	5	1	4
26.04.2013	6	6	0	0
16.04.2013	8	8	0	8
05.04.2013	7	6	6	0
07.03.2013	10	4	2	2
07.02.2013	10	7	7	0
17.01.2013	7	6	6	0
20.12.2012	6	6	6	0
23.11.2012	16	12	12	0
26.03.2013	8	8	3	5
26.06.2014	3	3	0	3
30.05.2014	6	9	4	5
08.05.2014	8	6	2	4
11.04.2014	5	7	7	0
27.02.2014	5	4	2	2
07.02.2014	7	7	0	7
17.01.2014	8	9	4	5
27.12.2013	9	8	6	2
19.11.2013	8	6	4	2
25.10.2013	12	12	6	6
26.09.2013	8	8	0	8
14.03.2014	5	4	4	0
12.12.2013	11	4	4	0
26.09.2013	6	6	6	0
08.08.2013	4	4	1	3
12.07.2013	4	4	3	1
31.05.2013	8	3	3	0
18.03.2013	6	6	6	0
15.02.2013	12	6	2	4
17.01.2013	7	7	7	0
20.12.2012	6	8	8	0
23.11.2012	12	12	4	8
05.04.2013	8	8	3	5
17.10.2013	10	5	2	3
09.10.2012	4	3	3	0
27.08.2012	10	10	6	4
20.07.2012	6	6	5	1
19.06.2012	7	7	6	1
02.05.2012	7	10	7	3
10.04.2012	2	2	2	0
23.03.2012	10	10	0	10
22.02.2012	8	10	0	0
23.03.2012	9	9	7	2
23.03.2012	5	5	3	2
22.02.2012	8	8	8	0
22.02.2012	8	8	4	4
30.05.2012	12	12	5	7
22.05.2012	8	5	5	0
17.04.2012	7	7	7	0
13.03.2012	6	6	4	2
22.02.2012	6	8	8	0
20.07.2012	11	11	7	4
09.05.2012	3	3	2	1
17.04.2012	8	8	1	7
10.04.2012	1	1	1	0
23.03.2012	11	11	3	8
22.02.2012	6	11	7	4
10.04.2012	1	1	1	0
20.08.2012	7	7	7	0
20.07.2012	15	15	10	5
30.05.2012	6	7	3	4
02.05.2012	4	7	6	1
23.03.2012	12	12	6	6
22.02.2012	8	8	6	2
09.05.2012	8	10	4	6
17.01.2013	6	7	3	4
20.12.2012	5	5	3	2
08.11.2012	8	8	0	0
03.09.2012	8	12	10	2
07.08.2012	4	4	4	0
09.07.2012	8	8	3	5
19.06.2012	3	3	2	1
30.05.2012	8	8	8	0
09.10.2012	12	8	8	0
23.07.2012	4	4	4	0
20.12.2012	6	4	2	2
08.11.2012	6	4	2	2
11.10.2012	12	3	3	0
17.09.2012	8	8	8	0
20.08.2012	8	8	4	4
06.08.2012	8	8	5	3
20.07.2012	10	10	7	3
09.07.2012	11	11	7	4
29.05.2012	10	10	8	2
20.02.2014	14	8	6	2
30.01.2014	4	4	2	2
02.01.2014	6	3	3	0
19.04.2014	8	6	6	0
27.03.2014	8	8	4	4
26.06.2014	5	5	4	1
01.04.2014	3	3	2	1
14.03.2014	8	6	6	0
13.02.2014	6	5	3	2
17.01.2014	12	5	5	0
12.12.2013	8	8	4	4
21.11.2013	8	4	4	0
26.06.2014	4	4	4	0
30.05.2014	7	3	3	0
19.04.2014	8	8	4	4
14.03.2014	8	8	5	3
20.02.2014	15	11	9	2
30.01.2014	10	10	10	0
19.12.2013	16	12	6	6
21.11.2013	8	12	10	2
26.08.2013	8	9	6	3
05.07.2013	7	7	2	5
31.05.2013	6	6	4	2
10.05.2013	7	4	4	0
26.03.2013	15	15	10	5
20.02.2014	3	3	1	2
17.01.2014	5	6	3	3
28.11.2013	6	6	5	1
07.11.2013	6	7	4	3
17.10.2013	6	6	1	5
19.09.2013	8	8	4	4
26.08.2013	3	3	0	3
08.08.2013	8	8	3	5
18.07.2013	10	10	6	4
28.06.2013	8	8	0	8
09.09.2013	6	6	5	1
05.08.2013	8	8	4	4
05.07.2013	7	7	4	3
31.05.2013	6	4	4	0
10.05.2013	9	6	6	0
12.04.2013	8	8	8	0
21.03.2013	11	8	3	5
28.02.2013	11	11	0	0
03.01.2013	8	7	3	4
31.05.2013	7	3	3	0
31.01.2013	7	11	6	5
30.01.2014	4	4	4	0
10.01.2014	4	4	0	0
19.12.2013	10	10	10	0
07.11.2013	6	6	2	4
17.10.2013	8	10	7	3
26.09.2013	5	5	2	3
06.09.2013	16	10	4	6
08.08.2013	8	8	8	0
18.07.2013	8	12	8	4
28.06.2013	4	4	4	0
31.05.2013	15	9	9	0
19.12.2013	6	6	0	6
03.10.2013	6	6	1	5
09.09.2013	6	6	4	2
25.07.2013	5	5	3	2
05.07.2013	5	5	2	3
31.05.2013	8	4	4	0
10.05.2013	10	10	8	2
12.04.2013	11	11	3	8
05.04.2013	8	3	2	1
21.03.2013	8	9	6	3
07.02.2013	12	12	8	4
17.01.2013	7	12	5	7
11.10.2013	8	8	8	0
26.08.2013	6	6	4	2
05.08.2013	8	8	8	0
12.07.2013	8	8	3	5
31.05.2013	7	7	5	2
16.04.2013	8	8	0	8
28.03.2013	9	8	3	5
14.02.2013	7	1	1	0
17.01.2013	7	10	10	0
31.10.2013	6	6	0	0
19.09.2013	8	8	4	4
08.08.2013	3	3	1	2
31.05.2013	11	10	2	8
16.04.2013	8	8	8	0
26.03.2013	11	11	5	6
28.02.2013	8	5	2	3
17.01.2013	8	10	6	4
08.08.2013	4	3	3	0
18.07.2013	5	4	4	0
31.05.2013	8	5	5	0
10.05.2013	12	8	8	0
16.04.2013	10	10	0	0
21.03.2013	14	14	10	4
27.02.2014	6	6	5	1
07.11.2013	8	9	4	5
03.10.2013	5	5	2	3
06.09.2013	8	6	4	2
25.07.2013	9	12	6	6
28.06.2013	3	1	1	0
14.06.2013	12	8	8	0
17.10.2013	4	2	2	0
25.04.2014	6	6	0	6
25.04.2014	8	8	7	1
14.03.2014	11	3	3	0
07.02.2014	13	12	10	2
01.04.2014	5	5	1	4
06.03.2014	11	9	5	4
26.06.2014	5	8	4	4
22.05.2014	8	5	3	2
02.05.2014	10	10	6	4
01.04.2014	9	9	3	6
06.03.2014	10	8	8	0
07.02.2014	13	7	7	0
02.05.2014	10	6	6	0
01.04.2014	11	11	6	5
27.02.2014	6	5	3	2
30.01.2014	9	8	4	4
02.01.2014	7	5	5	0
19.11.2013	7	7	4	3
25.10.2013	10	10	3	7
09.09.2013	9	9	3	6
23.08.2013	10	6	6	0
05.07.2013	16	16	8	8
