bitrh_dates,pups_born,pups_beforeW,weaned_f,weaned_m
25.04.2007,13,13,7,2
04.04.2007,12,12,6,0
07.03.2007,15,15,9,0
15.01.2007,15,11,3,0
20.12.2006,15,15,4,0
25.11.2006,12,12,4,0
16.05.2007,12,12,5,0
25.04.2007,14,14,2,2
02.04.2007,15,15,5,0
07.03.2007,15,15,4,0
10.01.2007,16,16,8,8
19.12.2006,8,8,7,0
26.11.2006,13,13,6,0
21.06.2007,12,12,6,2
01.06.2007,14,14,8,0
03.05.2007,14,14,8,6
12.03.2007,17,17,5,0
27.01.2007,12,12,6,6
04.01.2007,13,13,4,9
26.11.2006,12,11,4,7
01.06.2007,12,12,8,0
04.05.2007,11,11,2,2
23.03.2007,5,5,5,0
21.01.2007,17,17,7,0
26.11.2006,13,13,6,0
12.06.2007,13,13,6,0
16.05.2007,17,17,10,0
23.04.2007,15,15,2,3
02.04.2007,10,10,3,0
08.03.2007,18,18,8,0
17.01.2007,19,19,9,0
20.12.2006,20,20,11,0
26.11.2006,18,17,10,0
10.07.2007,11,0,0,0
21.06.2007,10,10,7,0
01.06.2007,4,4,1,0
04.05.2007,17,17,10,0
11.04.2007,18,18,14,11
20.03.2007,6,6,6,0
10.01.2007,16,15,8,7
18.12.2006,18,18,9,9
25.11.2006,15,15,9,0
22.06.2007,7,7,2,0
28.05.2007,14,14,3,0
01.05.2007,14,14,4,2
08.04.2007,12,12,4,0
12.03.2007,16,16,4,0
16.01.2007,15,14,6,0
20.12.2006,13,13,3,0
26.11.2006,11,11,7,0
18.04.2007,12,0,0,0
24.03.2007,13,13,7,0
07.03.2007,16,16,10,0
10.01.2007,15,15,8,7
18.12.2006,15,15,8,0
26.11.2006,8,8,3,0
22.05.2007,7,7,1,0
24.04.2007,15,15,7,2
02.04.2007,14,14,5,0
07.03.2007,17,17,8,0
10.01.2007,18,17,8,9
20.12.2006,15,15,7,8
26.11.2006,14,14,9,0
06.06.2007,5,0,0,0
16.05.2007,11,11,2,0
25.04.2007,12,12,2,2
02.04.2007,7,7,3,0
12.03.2007,7,7,7,0
07.01.2007,9,9,1,8
20.12.2006,9,9,5,4
26.11.2006,6,6,4,0
10.07.2007,9,0,0,0
22.06.2007,8,8,5,0
24.05.2007,11,11,4,0
01.05.2007,14,14,8,2
03.04.2007,20,20,7,0
07.03.2007,15,15,3,0
17.01.2007,15,15,8,0
20.12.2006,18,18,7,0
26.11.2006,12,12,8,0
12.06.2007,12,12,4,0
16.05.2007,11,11,5,0
23.04.2007,9,9,3,2
02.04.2007,17,17,6,0
07.03.2007,19,19,10,0
16.01.2007,14,14,10,0
20.12.2006,16,16,10,0
25.11.2006,12,12,7,0
10.06.2007,7,7,5,2
06.05.2007,15,15,10,0
11.04.2007,12,12,4,0
12.03.2007,17,17,7,0
17.01.2007,18,18,6,0
20.12.2006,17,16,10,6
26.11.2006,13,13,9,0
10.06.2007,12,12,7,2
11.04.2007,12,12,9,0
23.03.2007,12,12,7,0
17.01.2007,16,16,4,0
20.12.2006,16,16,9,7
25.11.2006,13,13,5,0
21.06.2007,13,13,7,2
03.05.2007,14,14,3,0
09.04.2007,15,15,6,0
12.03.2007,15,15,6,0
10.01.2007,13,13,8,5
20.12.2006,18,18,6,0
26.11.2006,14,14,8,0
03.05.2007,12,12,8,0
04.04.2007,18,16,8,8
09.03.2007,15,15,6,0
24.01.2007,18,18,7,0
26.12.2006,14,14,10,0
27.11.2006,11,11,4,0
21.06.2007,8,8,2,2
01.06.2007,15,15,9,0
21.04.2007,14,14,8,6
10.03.2007,12,12,6,0
17.01.2007,17,17,7,0
26.12.2006,17,17,6,0
04.12.2006,13,13,4,0
10.06.2007,4,4,1,2
06.05.2007,12,12,10,0
14.04.2007,11,11,3,0
23.03.2007,15,15,5,0
17.01.2007,14,14,4,0
20.12.2006,13,15,8,7
26.11.2006,14,14,7,0
02.08.2007,12,13,6,7
18.04.2007,12,12,5,7
24.03.2007,17,17,8,0
17.01.2007,10,10,4,0
20.12.2006,16,16,9,0
01.12.2006,15,15,6,0
08.04.2007,9,9,2,0
12.03.2007,18,18,4,0
17.01.2007,17,17,6,0
24.12.2006,15,15,4,0
02.12.2006,17,17,11,0
02.04.2007,6,0,0,0
10.03.2007,9,9,4,0
20.12.2006,11,11,4,0
28.12.2006,10,10,2,0
10.12.2006,14,14,8,0
13.05.2008,2,2,0,0
11.06.2008,14,14,8,6
11.06.2008,6,6,4,2
17.07.2008,3,3,0,3
12.06.2008,4,4,1,3
12.06.2008,5,4,2,2
11.06.2008,14,14,7,7
27.05.2008,3,3,1,2
27.05.2008,6,6,4,2
18.01.2008,12,0,0,0
12.05.2008,6,6,4,2
15.05.2008,5,5,3,2
13.05.2008,4,4,3,1
15.05.2008,3,3,2,1
01.02.2010,7,7,7,0
28.05.2010,15,15,8,7
22.02.2010,9,8,8,0
01.02.2010,3,3,3,0
01.05.2010,3,3,3,0
26.03.2010,4,4,4,0
12.03.2010,9,9,9,0
22.02.2010,1,1,1,0
01.02.2010,6,6,6,0
01.05.2010,4,4,4,0
22.02.2010,5,5,5,0
22.01.2010,3,3,3,0
02.09.2010,4,4,4,0
21.07.2010,5,5,5,0
04.07.2010,7,7,7,0
25.06.2010,6,6,6,0
01.05.2010,4,4,4,0
02.04.2010,7,7,7,0
12.03.2010,4,4,4,0
22.02.2010,3,3,3,0
22.01.2010,5,5,5,0
